N, t_def, p_def, t_avx2, p_avx2, t_avx2rsqrt, p_avx2rsqrt, t_avx512, p_avx512, t_avx512rsqrt, p_avx512rsqrt, t_avx512rsqrt4i, p_avx512rsqrt4i,t_full,p_full,t_full_rsqrt,p_full_rsqrt,p_avx2_max,p_avx512_max,p_avx512rsqrt_max,p_avx512rsqrt4i_max,p_full_rsqrt8i_max
128,9.7E-05,168.340748,2.3E-05,712.627721,2.3E-05,693.846405,2.6E-05,622.772173,1.9E-05,873.98278,1.8E-05,900.053993,3.7E-05,433.852334,1.5E-05,1104.940627,1040,880,1530,1717,1257
256,0.000389,167.788023,8.3E-05,789.136504,8.5E-05,765.208527,9.1E-05,718.767695,6.9E-05,948.752927,5.3E-05,1230.580517,0.00015,435.269653,5.6E-05,1157.390216,1040,880,1530,1717,1257
384,0.000802,183.43255,0.000174,844.073866,0.000161,911.899925,0.000196,751.279068,0.000117,1252.690987,0.000109,1348.096376,0.000337,436.726206,0.000132,1115.601928,1040,880,1530,1717,1257
512,0.001276,205.019214,0.00029,902.684098,0.000281,931.088473,0.000331,790.692732,0.000196,1337.831521,0.00018,1455.088576,0.000601,435.559523,0.000226,1159.587807,1040,880,1530,1717,1257
640,0.001886,216.876562,0.000439,932.185127,0.000439,932.338517,0.000505,809.439813,0.000307,1333.754887,0.000278,1470.334006,0.000913,448.003379,0.00039,1047.682965,1040,880,1530,1717,1257
768,0.002636,223.501032,0.000616,956.868739,0.000629,936.583539,0.000727,810.234886,0.000424,1389.954793,0.000385,1530.043722,0.001254,469.663405,0.000551,1069.289898,1040,880,1530,1717,1257
896,0.003523,227.601197,0.000829,966.793218,0.000854,939.406732,0.000975,822.828096,0.000582,1378.771232,0.000519,1543.720799,0.001678,477.927008,0.000734,1092.766303,1040,880,1530,1717,1257
1024,0.004586,228.440391,0.00107,978.987969,0.001109,944.207493,0.001272,823.240429,0.000733,1429.739532,0.00066,1588.099978,0.002155,486.021442,0.000947,1106.745502,1040,880,1530,1717,1257
1152,0.005733,231.299752,0.001347,984.130731,0.001407,942.435419,0.001587,835.770796,0.000928,1428.742863,0.000834,1590.477355,0.002695,492.079056,0.001199,1105.612294,1040,880,1530,1717,1257
1280,0.007027,232.983842,0.001653,990.459762,0.001732,945.275992,0.001969,831.288252,0.001128,1450.818997,0.001013,1616.640378,0.003306,495.25374,0.001468,1115.05757,1040,880,1530,1717,1257
1408,0.008518,232.561738,0.001995,992.789195,0.002097,944.841601,0.002373,834.793804,0.001368,1448.59135,0.001224,1618.716097,0.003962,500.058932,0.001776,1115.738826,1040,880,1530,1717,1257
1536,0.010104,233.339499,0.002364,997.447317,0.002486,948.37575,0.002809,839.488288,0.001609,1465.128049,0.001436,1641.71555,0.004692,502.542168,0.002083,1132.081654,1040,880,1530,1717,1257
1664,0.011782,234.869029,0.002791,991.587102,0.00293,944.429483,0.00331,835.967521,0.001929,1434.804085,0.0017,1627.444375,0.005492,503.853521,0.002449,1129.719917,1040,880,1530,1717,1257
