#CPU Results
#Nodes, #Cores, N, t_total[s], performance[Mpairs/s], time_steps/s
1,10,128,19.403592,204.536347,12582.206366
1,10,256,7.164755,556.106179,8518.783379
1,10,384,2.350121,1697.561251,11542.382306
1,10,512,12.451492,3206.173297,12254.515108
1,10,768,7.780500,5134.299997,8716.149223
1,10,1024,5.909660,6761.796717,6454.855431
1,10,2048,14.997728,9996.411632,2384.494561
1,10,3072,12.523840,11972.827407,1269.099562
1,10,4096,24.390301,12296.697668,733.119281
1,10,6144,22.861531,13119.872911,347.614518
1,10,8192,22.148833,13542.023124,201.816505
1,10,12288,21.387556,14019.907247,92.857734
1,10,16384,21.531134,13925.142120,51.878363
1,10,24576,20.266194,14781.353418,24.474255
1,10,32768,20.523482,14596.198998,13.594184
1,20,128,32.617561,121.674943,7484.925160
1,20,256,9.740949,409.032509,6265.816613
1,20,384,2.671394,1493.405934,10154.250534
1,20,512,12.635317,3159.528437,12076.230878
1,20,768,6.129051,6517.716939,11064.681354
1,20,1024,4.624139,8641.591552,8249.319893
1,20,2048,10.228419,14657.539464,3496.336928
1,20,3072,8.409831,17829.819344,1889.930853
1,20,4096,15.254056,19661.666669,1172.212842
1,20,6144,13.351895,22464.254645,595.196394
1,20,8192,12.805875,23422.061691,349.058526
1,20,12288,11.649382,25739.695818,170.481143
1,20,16384,11.313237,26502.062617,98.733903
1,20,24576,10.288177,29117.090934,48.210680
1,20,32768,10.614777,28221.490598,26.284113
1,40,128,90.952821,43.635148,2684.248792
1,40,256,16.554348,240.683892,3686.946872
1,40,384,6.140956,649.650439,4417.227199
1,40,512,2.736286,1458.904763,5576.170971
1,40,768,7.720070,5174.489309,8784.375865
1,40,1024,18.226404,8221.773465,7848.558798
1,40,1536,11.607177,12914.567241,5477.473212
1,40,2048,9.608765,15602.781740,3721.810343
1,40,3072,6.883371,21783.769755,2309.042945
1,40,4096,11.636290,25774.551886,1536.658170
1,40,6144,9.601895,31237.624682,827.649163
1,40,8192,8.852576,33881.664923,504.937788
1,40,12288,7.544737,39743.142453,263.229854
1,40,16384,7.189107,41705.332660,155.373954
1,40,24576,6.583624,45501.043208,75.338441
1,40,32768,6.328659,47334.641441,44.085166
#FPGA Results
Nodes, dim, f_max, N, s, t_exec[s], P[Mpairs/s], Efficiency, t/timestep[us], Power[W], Energy Efficiency[Mpairs/s/W]
1, 1x1, 286.000000, 128, 698242, 6.542411, 1748.590247, 0.764244, 0.000009, 146.552628, 11.931483
1, 1x1, 286.000000, 256, 349121, 10.252873, 2231.569089, 0.975336, 0.000029, 147.614731, 15.117523
1, 1x1, 286.000000, 384, 155164, 10.155530, 2252.946235, 0.984679, 0.000065, 147.689194, 15.254645
1, 1x1, 286.000000, 512, 87280, 10.155557, 2252.946760, 0.984680, 0.000116, 147.801559, 15.243051
1, 1x1, 286.000000, 768, 38791, 10.155546, 2252.942632, 0.984678, 0.000262, 147.945190, 15.228225
1, 1x1, 286.000000, 1024, 21820, 10.155565, 2252.944889, 0.984679, 0.000465, 148.093109, 15.213030
1, 1x1, 286.000000, 1536, 9697, 10.154745, 2252.946073, 0.984679, 0.001047, 148.214966, 15.200530
1, 1x1, 286.000000, 2048, 5455, 10.155567, 2252.944551, 0.984679, 0.001862, 148.259964, 15.195907
1, 1x1, 286.000000, 3072, 2424, 10.153703, 2252.944865, 0.984679, 0.004189, 148.348145, 15.186876
1, 1x1, 286.000000, 4096, 1363, 10.149985, 2252.943747, 0.984678, 0.007447, 148.382782, 15.183323
1, 1x1, 286.000000, 6144, 606, 10.153977, 2252.884155, 0.984652, 59.681049, 147.171844, 15.307848
1, 1x1, 286.000000, 8192, 340, 10.127915, 2252.883713, 0.984652, 33.570583, 147.108490, 15.314437
1, 1x1, 286.000000, 12288, 151, 10.120464, 2252.884603, 0.984652, 14.920265, 147.019562, 15.323706
1, 1x1, 286.000000, 16384, 85, 10.127922, 2252.882140, 0.984651, 8.392640, 146.987961, 15.326984
1, 1x1, 286.000000, 24576, 37, 9.919435, 2252.875445, 0.984648, 3.730051, 146.835556, 15.342847
1, 1x1, 286.000000, 32768, 24, 10.040213, 2252.877413, 0.984649, 2.387235, 146.802002, 15.346367
1, 2x2, 308.330000, 128, 1505517, 7.736273, 3188.407466, 0.323153, 0.000005, 156.392227, 20.387250
1, 2x2, 308.330000, 256, 752758, 6.848877, 7203.041713, 0.730046, 0.000009, 159.818604, 45.070108
1, 2x2, 308.330000, 384, 501839, 8.374265, 8836.497622, 0.895601, 0.000017, 164.182816, 53.821087
1, 2x2, 308.330000, 512, 376379, 10.406218, 9481.398041, 0.960963, 0.000028, 165.075180, 57.436848
